listing_id,business_type,business_name,address,phone_number,other_information,see_advertisement,graphic,directory,image_url,listing_image_url,page,full_text
17093,Burglar Alarms,SAFETY ALARM CO,1727 6 Av N,7-5151,Burglar and Fire Alarms Installed Residential - Commercial,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=26,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0025/6004,1094,999,267/pct:100/0/default.jpg",gdcustel.usteledirec00004_0025_b,
17124,Furniture--Repairing,Twelfth Street Upholstery & Repr Shop,630 S 12,7-6698,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/516,2454,995,86/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
17137,Furniture--Repairing,United Furn Serv Co,702 S Delta,3-3347,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/511,2527,1004,55/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
17146,Furniture--Repairing,Wood & Sons,521 S 20,3-9404,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/516,2568,997,59/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16723,Furniture--Used--(Cont'd),Aldridge Clyde Furn Co Inc,2606 2 Av N,54-3525,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1546,1542,998,43/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16825,Furniture--Used--(Cont'd),Brinton Jewlry & Furn Co,1807 Av E Ens,6-2284,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1542,2326,1000,57/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16829,Furniture--Used--(Cont'd),Crow George M Furn Co,404 S 20,3-8383,"Baby Beds--Other Furn--Rented, Sold",,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1541,3312,1004,119/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16841,Furniture--Used--(Cont'd),CORY & FAULKNER HDW & FURN CO,212 S 41,9-1181,WE PAY CASH FOR USED FURNITURE & APPLIANCES,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1538,2731,1007,516/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16850,Furniture--Used--(Cont'd),Dixie Furniture Co,1818 Av D Ens,6-4935,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1543,3767,1000,52/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
17115,Furniture--Used--(Cont'd),ADMIRAL HOME FURNISHING CO,2113 2 Av N,4-1679,"""Where Your Dollar Buys With Sense"" | WE BUY SELL OR TRADE CASH WITH THE TRUCK SEE US FIRST",,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1553,957,997,515/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
17129,Furniture--Used--(Cont'd),BONDS A A FURN CO,2117 3 Av N,54-1582,"WE BUY - SELL & TRADE New & Used Furniture ""Ala's Largest Used Furniture Store""",,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1541,1763,1002,265/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16714,Furniture--Wrought Iron,METAL CRAFT CO,3416 6 Av S,7-5456,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3599,2866,1021,106/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
17103,Galvanized Ware,FAIRFIELD BARREL CO,4000 Commerce Av,57-4684,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3599,3383,1018,101/pct:100/0/default.jpg",gdcustel.usteledirec00004_0061_a,
16722,Steel,ALLEGHENY LUDLUM STEEL CORP | ALLEGHENY LUDLUM STEEL,716 N 19th,4-0548,"""WHERE TO BUY IT"" | Stainless, Heat and Acid Re-sisting, Super High Tempera-ture, Tool and Die, Electrical and Valve Steels, Arnold Per-manent Magnets and Carment Carbides--in all forms and shapes.",,"a gray star with the letters ""AL""",Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=132,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0131/7016,3900,999,602/pct:100/0/default.jpg",gdcustel.usteledirec00004_0131_b,
16704,Steam Cleaning Equipment,Alabama Auto Parts Co,514 S 18,4-7601,,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=132,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0131/6004,2601,995,56/pct:100/0/default.jpg",gdcustel.usteledirec00004_0131_b,
17130,Steam Cleaning Equipment,UNITED AUTO SUPPLY CO,1911 4 Av S,7-3117,QUICK STEAM CLEANERS | DISTRIBUTOR,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=132,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0131/6000,3091,992,170/pct:100/0/default.jpg",gdcustel.usteledirec00004_0131_b,
16828,Steam Cleaning,SUPER SERVICE,3628 5th Av N,59-9195,WE STEAM CLEAN ANYTHING - ANYWHERE | We Sandblast Anything | INDUSTRIAL MACHINERY AUTOMOBILES - TRUCKS - TRAILERS TANKS - BUILDINGS - HOMES,,,Birmingham_1955,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=132,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0131/6005,1977,995,497/pct:100/0/default.jpg",gdcustel.usteledirec00004_0131_b,
