order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0003/392,509,4384,5392/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0003/392,509,4384,5392/pct:100/0/default.jpg",4384.0,5392.0,4923,gdcustel.usteledirec00004_0003_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=4
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0003/4780,509,4415,5402/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0003/4780,509,4415,5402/pct:100/0/default.jpg",4415.0,5402.0,4922,gdcustel.usteledirec00004_0003_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=4
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0004/394,513,4366,5389/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0004/394,513,4366,5389/pct:100/0/default.jpg",4366.0,5389.0,4925,gdcustel.usteledirec00004_0004_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=5
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0004/4770,510,4415,5400/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0004/4770,510,4415,5400/pct:100/0/default.jpg",4415.0,5400.0,4924,gdcustel.usteledirec00004_0004_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=5
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0005/0,0,4783,6407/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0005/0,0,4783,6407/pct:100/0/default.jpg",4783.0,6407.0,4926,gdcustel.usteledirec00004_0005_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=6
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0005/4783,0,4783,6407/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0005/4783,0,4783,6407/pct:100/0/default.jpg",4783.0,6407.0,4927,gdcustel.usteledirec00004_0005_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=6
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0006/0,0,4791,6407/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0006/0,0,4791,6407/pct:100/0/default.jpg",4791.0,6407.0,4928,gdcustel.usteledirec00004_0006_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=7
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0006/4791,0,4791,6407/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0006/4791,0,4791,6407/pct:100/0/default.jpg",4791.0,6407.0,4929,gdcustel.usteledirec00004_0006_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=7
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0007/0,0,4783,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0007/0,0,4783,6423/pct:100/0/default.jpg",4783.0,6423.0,4930,gdcustel.usteledirec00004_0007_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=8
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0007/4783,0,4783,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0007/4783,0,4783,6423/pct:100/0/default.jpg",4783.0,6423.0,4931,gdcustel.usteledirec00004_0007_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=8
11,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0008/401,508,4386,5411/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0008/401,508,4386,5411/pct:100/0/default.jpg",4386.0,5411.0,4932,gdcustel.usteledirec00004_0008_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=9
12,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0008/4779,524,4412,5399/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0008/4779,524,4412,5399/pct:100/0/default.jpg",4412.0,5399.0,4933,gdcustel.usteledirec00004_0008_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=9
13,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0009/398,500,4392,5402/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0009/398,500,4392,5402/pct:100/0/default.jpg",4392.0,5402.0,4934,gdcustel.usteledirec00004_0009_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=10
14,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0009/4784,507,4398,5398/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0009/4784,507,4398,5398/pct:100/0/default.jpg",4398.0,5398.0,4935,gdcustel.usteledirec00004_0009_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=10
15,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0010/392,513,4398,5401/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0010/392,513,4398,5401/pct:100/0/default.jpg",4398.0,5401.0,4936,gdcustel.usteledirec00004_0010_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=11
16,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0010/4792,519,4404,5395/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0010/4792,519,4404,5395/pct:100/0/default.jpg",4404.0,5395.0,4937,gdcustel.usteledirec00004_0010_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=11
17,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0011/399,510,4403,5403/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0011/399,510,4403,5403/pct:100/0/default.jpg",4403.0,5403.0,4938,gdcustel.usteledirec00004_0011_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=12
18,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0011/4806,514,4406,5396/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0011/4806,514,4406,5396/pct:100/0/default.jpg",4406.0,5396.0,4939,gdcustel.usteledirec00004_0011_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=12
19,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0012/0,0,4799,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0012/0,0,4799,6423/pct:100/0/default.jpg",4799.0,6423.0,4940,gdcustel.usteledirec00004_0012_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=13
20,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0012/4799,0,4799,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0012/4799,0,4799,6423/pct:100/0/default.jpg",4799.0,6423.0,4941,gdcustel.usteledirec00004_0012_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=13
21,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0013/0,0,4799,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0013/0,0,4799,6423/pct:100/0/default.jpg",4799.0,6423.0,4942,gdcustel.usteledirec00004_0013_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=14
22,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0013/4799,0,4799,6423/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0013/4799,0,4799,6423/pct:100/0/default.jpg",4799.0,6423.0,4943,gdcustel.usteledirec00004_0013_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=14
23,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0014/0,0,4799,6471/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0014/0,0,4799,6471/pct:100/0/default.jpg",4799.0,6471.0,4944,gdcustel.usteledirec00004_0014_a,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=15
24,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0014/4799,0,4799,6471/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0014/4799,0,4799,6471/pct:100/0/default.jpg",4799.0,6471.0,4945,gdcustel.usteledirec00004_0014_b,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=15
