order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0055/406,548,4057,5184/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0055/406,548,4057,5184/pct:100/0/default.jpg",4057.0,5184.0,5237,gdcustel.usteledirec04986x_0055_a,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=56
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0055/4470,499,4031,5204/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0055/4470,499,4031,5204/pct:100/0/default.jpg",4031.0,5204.0,5236,gdcustel.usteledirec04986x_0055_b,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=56
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/395,556,4054,5180/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/395,556,4054,5180/pct:100/0/default.jpg",4054.0,5180.0,5239,gdcustel.usteledirec04986x_0056_a,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/4449,504,4038,5203/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/4449,504,4038,5203/pct:100/0/default.jpg",4038.0,5203.0,5238,gdcustel.usteledirec04986x_0056_b,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0057/409,551,4037,5172/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0057/409,551,4037,5172/pct:100/0/default.jpg",4037.0,5172.0,5241,gdcustel.usteledirec04986x_0057_a,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=58
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0057/4449,497,4069,5207/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0057/4449,497,4069,5207/pct:100/0/default.jpg",4069.0,5207.0,5240,gdcustel.usteledirec04986x_0057_b,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=58
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0058/398,557,4038,5174/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0058/398,557,4038,5174/pct:100/0/default.jpg",4038.0,5174.0,5243,gdcustel.usteledirec04986x_0058_a,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=59
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0058/4448,505,4029,5208/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0058/4448,505,4029,5208/pct:100/0/default.jpg",4029.0,5208.0,5242,gdcustel.usteledirec04986x_0058_b,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=59
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0059/392,552,4049,5184/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0059/392,552,4049,5184/pct:100/0/default.jpg",4049.0,5184.0,5245,gdcustel.usteledirec04986x_0059_a,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=60
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0059/4450,503,4037,5214/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0059/4450,503,4037,5214/pct:100/0/default.jpg",4037.0,5214.0,5244,gdcustel.usteledirec04986x_0059_b,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=60
