order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/0,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/0,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5268,gdcustel.usteledirec03932_0067_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=68
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/3271,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/3271,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5269,gdcustel.usteledirec03932_0067_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=68
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0068/0,0,3279,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0068/0,0,3279,4679/pct:100/0/default.jpg",3279.0,4679.0,5270,gdcustel.usteledirec03932_0068_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=69
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0068/3279,0,3279,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0068/3279,0,3279,4679/pct:100/0/default.jpg",3279.0,4679.0,5271,gdcustel.usteledirec03932_0068_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=69
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0069/0,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0069/0,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5272,gdcustel.usteledirec03932_0069_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=70
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0069/3271,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0069/3271,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5273,gdcustel.usteledirec03932_0069_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=70
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0070/0,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0070/0,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5274,gdcustel.usteledirec03932_0070_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=71
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0070/3271,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0070/3271,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5275,gdcustel.usteledirec03932_0070_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=71
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0071/0,0,3279,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0071/0,0,3279,4679/pct:100/0/default.jpg",3279.0,4679.0,5276,gdcustel.usteledirec03932_0071_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=72
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0071/3279,0,3279,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0071/3279,0,3279,4679/pct:100/0/default.jpg",3279.0,4679.0,5277,gdcustel.usteledirec03932_0071_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=72
11,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0072/0,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0072/0,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5278,gdcustel.usteledirec03932_0072_a,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=73
12,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0072/3271,0,3271,4679/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0072/3271,0,3271,4679/pct:100/0/default.jpg",3271.0,4679.0,5279,gdcustel.usteledirec03932_0072_b,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=73
