order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0052/0,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0052/0,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5498,usteledirec.usteledirec05650_0052_a,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=53
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0052/3320,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0052/3320,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5499,usteledirec.usteledirec05650_0052_b,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=53
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0053/0,0,3328,5608/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0053/0,0,3328,5608/pct:100/0/default.jpg",3328.0,5608.0,5500,usteledirec.usteledirec05650_0053_a,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=54
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0053/3328,0,3328,5608/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0053/3328,0,3328,5608/pct:100/0/default.jpg",3328.0,5608.0,5501,usteledirec.usteledirec05650_0053_b,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=54
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0054/0,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0054/0,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5502,usteledirec.usteledirec05650_0054_a,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=55
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0054/3320,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0054/3320,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5503,usteledirec.usteledirec05650_0054_b,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=55
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0055/0,0,3328,5608/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0055/0,0,3328,5608/pct:100/0/default.jpg",3328.0,5608.0,5504,usteledirec.usteledirec05650_0055_a,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=56
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0055/3328,0,3328,5608/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0055/3328,0,3328,5608/pct:100/0/default.jpg",3328.0,5608.0,5505,usteledirec.usteledirec05650_0055_b,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=56
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0056/0,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0056/0,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5506,usteledirec.usteledirec05650_0056_a,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=57
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0056/3320,0,3320,5624/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:56:50:usteledirec05650:usteledirec05650_0056/3320,0,3320,5624/pct:100/0/default.jpg",3320.0,5624.0,5507,usteledirec.usteledirec05650_0056_b,https://www.loc.gov/resource/usteledirec.usteledirec05650/?sp=57
