order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/458,3148,1059,1039/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/458,3148,1059,1039/pct:100/0/default.jpg",2117.381617443715,2077.581365402745,5548,gdcustel.usteledirec00004_0061_a_bg_55.69806819261294-2587.0266044287064,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/470,831,1067,2297/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/470,831,1067,2297/pct:100/0/default.jpg",2133.3017799808863,4592.967233093427,5549,gdcustel.usteledirec00004_0061_a_bg_67.63819009549104-270.64278323254155,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1505,819,1063,3483/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/1505,819,1063,3483/pct:100/0/default.jpg",2125.3416987123,6965.071627308052,5550,gdcustel.usteledirec00004_0061_a_bg_1102.4487550115928-258.70266044287064,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/2552,819,1063,4514/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/2552,819,1063,4514/pct:100/0/default.jpg",2125.3416987123005,9026.732828991242,5551,gdcustel.usteledirec00004_0061_a_bg_2149.1994418305717-258.70266044287064,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3587,819,1055,1819/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3587,819,1055,1819/pct:100/0/default.jpg",2109.42153617513,3637.757409919748,5552,gdcustel.usteledirec00004_0061_a_bg_3184.0100067466733-258.70266044287064,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3575,2634,1087,351/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3575,2634,1087,351/pct:100/0/default.jpg",2173.102186323813,700.4872036606957,5553,gdcustel.usteledirec00004_0061_a_bg_3172.069884843795-2073.601324472855,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3579,2976,1087,303/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3579,2976,1087,303/pct:100/0/default.jpg",2173.102186323813,604.9662213433285,5554,gdcustel.usteledirec00004_0061_a_bg_3176.049925478088-2415.8848444434225,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3583,3263,1083,247/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3583,3263,1083,247/pct:100/0/default.jpg",2165.142105055228,493.52507530640014,5555,gdcustel.usteledirec00004_0061_a_bg_3180.0299661123804-2702.447791395525,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3579,3486,1055,737/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0061/3579,3486,1055,737/pct:100/0/default.jpg",2109.4215361751303,1472.6151440594176,5556,gdcustel.usteledirec00004_0061_a_bg_3176.049925478088-2925.330083469383,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=62
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0025/4946,800,1046,398/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:00:04:usteledirec00004:usteledirec00004_0025/4946,800,1046,398/pct:100/0/default.jpg",2091.1113683739527,795.0993301654548,5557,gdcustel.usteledirec00004_0025_b_bg_155.02120641932441-294.18675216121835,https://www.loc.gov/resource/usteledirec.usteledirec00004/?sp=26
