order,file_path,thumbnail,width,height
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/1978,723,1317,2336/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/1978,723,1317,2336/pct:3.125/0/default.jpg",1317,2336
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/3328,756,1283,3577/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/3328,756,1283,3577/pct:3.125/0/default.jpg",1283,3577
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4887,756,1310,3409/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4887,756,1310,3409/pct:3.125/0/default.jpg",1310,3409
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4860,4205,1310,270/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4860,4205,1310,270/pct:3.125/0/default.jpg",1310,270
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4873,4462,1317,446/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4873,4462,1317,446/pct:3.125/0/default.jpg",1317,446
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4880,4934,1269,324/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4880,4934,1269,324/pct:3.125/0/default.jpg",1269,324
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4839,5292,1317,270/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/4839,5292,1317,270/pct:3.125/0/default.jpg",1317,270
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/6230,756,1290,952/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/6230,756,1290,952/pct:3.125/0/default.jpg",1290,952
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/6216,1708,1303,3557/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0163/6216,1708,1303,3557/pct:3.125/0/default.jpg",1303,3557
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/3318,686,1296,1249/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/3318,686,1296,1249/pct:3.125/0/default.jpg",1296,1249
11,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4925,740,1323,1785/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4925,740,1323,1785/pct:3.125/0/default.jpg",1323,1785
12,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4932,2524,1303,224/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4932,2524,1303,224/pct:3.125/0/default.jpg",1303,224
13,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4905,2755,1316,190/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4905,2755,1316,190/pct:3.125/0/default.jpg",1316,190
14,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4885,2951,1323,380/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4885,2951,1323,380/pct:3.125/0/default.jpg",1323,380
15,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4898,3324,1330,1174/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/4898,3324,1330,1174/pct:3.125/0/default.jpg",1330,1174
16,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6268,753,1316,808/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6268,753,1316,808/pct:3.125/0/default.jpg",1316,808
17,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6275,1561,1289,190/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6275,1561,1289,190/pct:3.125/0/default.jpg",1289,190
18,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6255,1771,1310,1500/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/6255,1771,1310,1500/pct:3.125/0/default.jpg",1310,1500
19,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,774,1316,218/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,774,1316,218/pct:3.125/0/default.jpg",1316,218
20,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,1011,1289,197/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,1011,1289,197/pct:3.125/0/default.jpg",1289,197
21,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7598,1215,1303,421/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7598,1215,1303,421/pct:3.125/0/default.jpg",1303,421
22,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7591,1642,1323,380/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7591,1642,1323,380/pct:3.125/0/default.jpg",1323,380
23,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7591,2015,1323,292/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7591,2015,1323,292/pct:3.125/0/default.jpg",1323,292
24,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,2293,1174,143/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7605,2293,1174,143/pct:3.125/0/default.jpg",1174,143
25,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7598,2436,1296,197/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7598,2436,1296,197/pct:3.125/0/default.jpg",1296,197
26,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7584,2612,1303,224/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7584,2612,1303,224/pct:3.125/0/default.jpg",1303,224
27,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7571,2816,1289,469/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0208/7571,2816,1289,469/pct:3.125/0/default.jpg",1289,469
28,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/689,696,1283,4644/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/689,696,1283,4644/pct:3.125/0/default.jpg",1283,4644
29,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,689,1364,797/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,689,1364,797/pct:3.125/0/default.jpg",1364,797
30,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1985,1512,1344,250/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1985,1512,1344,250/pct:3.125/0/default.jpg",1344,250
31,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1985,1782,1317,1222/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1985,1782,1317,1222/pct:3.125/0/default.jpg",1317,1222
32,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,3031,1276,655/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,3031,1276,655/pct:3.125/0/default.jpg",1276,655
33,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,3712,1283,399/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1991,3712,1283,399/pct:3.125/0/default.jpg",1283,399
34,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1958,4111,1310,243/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1958,4111,1310,243/pct:3.125/0/default.jpg",1310,243
35,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1958,4333,1296,1175/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/1958,4333,1296,1175/pct:3.125/0/default.jpg",1296,1175
36,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/3307,716,1323,2565/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/3307,716,1323,2565/pct:3.125/0/default.jpg",1323,2565
37,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/3260,3301,1337,2477/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/3260,3301,1337,2477/pct:3.125/0/default.jpg",1337,2477
38,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/4887,777,1290,4529/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0227/4887,777,1290,4529/pct:3.125/0/default.jpg",1290,4529
