order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0067/2702,1805,1633,112/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0067/2702,1805,1633,112/pct:100/0/default.jpg",1632.5510066421384,111.43088250544433,5814,gdcustel.usteledirec04986x_0067_a_bg_2006.369287888078-1143.9653881359352_bg_580.0295474937986-233.47423001140723,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=68
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2745,1487,1612,102/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2745,1487,1612,102/pct:100/0/default.jpg",1611.5394634569675,101.81840285692577,5815,gdcustel.usteledirec04986x_0056_a_bg_2085.967509736284-851.3459250942159_bg_526.6082035663-157.9940733986779,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2748,1547,1612,99/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2748,1547,1612,99/pct:100/0/default.jpg",1611.5394634569673,98.30742344806626,5816,gdcustel.usteledirec04986x_0056_a_bg_2085.967509736284-851.3459250942159_bg_533.6301620127355-277.3673732999012,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2754,1605,1603,99/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2754,1605,1603,99/pct:100/0/default.jpg",1602.7620153989228,98.30742344806625,5817,gdcustel.usteledirec04986x_0056_a_bg_2085.967509736284-851.3459250942159_bg_544.1630996823889-393.229693792265,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2747,1663,1621,99/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2747,1663,1621,99/pct:100/0/default.jpg",1620.3169115150122,98.30742344806623,5818,gdcustel.usteledirec04986x_0056_a_bg_2085.967509736284-851.3459250942159_bg_530.1191827895177-509.0920142846288,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/895,4829,1616,113/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/895,4829,1616,113/pct:100/0/default.jpg",1615.1210626209545,112.35623898766617,5819,gdcustel.usteledirec04986x_0056_a_bg_228.48563874507303-4171.963580981178_bg_540.5915937749497-200.1345506967804,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/895,4937,1621,122/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/895,4937,1621,122/pct:100/0/default.jpg",1620.3877617381968,121.13407015857757,5820,gdcustel.usteledirec04986x_0056_a_bg_228.48563874507303-4171.963580981178_bg_540.5915937749497-417.8247637353836,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2748,2432,1648,84/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2748,2432,1648,84/pct:100/0/default.jpg",1647.741273355836,83.78345970728262,5821,gdcustel.usteledirec04986x_0056_a_bg_2111.7658690556063-1787.457894678332_bg_481.7172565515306-174.54887439017222,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2766,2472,1629,107/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2766,2472,1629,107/pct:100/0/default.jpg",1628.5408983485117,106.47481337800505,5822,gdcustel.usteledirec04986x_0056_a_bg_2111.7658690556063-1787.457894678332_bg_516.6270292921204-254.84135660965143,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2782,2484,1606,90/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:49:86:x:usteledirec04986x:usteledirec04986x_0056/2782,2484,1606,90/pct:100/0/default.jpg",1605.8495460671284,89.01992593898783,5823,gdcustel.usteledirec04986x_0056_a_bg_2111.7658690556063-1787.457894678332_bg_548.0458247586512-279.2781990242755,https://www.loc.gov/resource/usteledirec.usteledirec04986x/?sp=57
